sent_id,id,tb,lemma,pos,case,number,person,possessor's number,possessor's person,polarity,tense,aspect,verb form,evidentiality,mood,voice,numeral type,pronominal type,is this an echo word or a reduplicative?
pop_1901,1,v2.8,bakkal,proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1901,2,v2.8,ziya,proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1901,3,v2.8,...,punctuation,,,,,,,,,,,,,,,
pop_1901,1,v2.11,bakkal,proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1901,2,v2.11,ziya,proper noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1901,3,v2.11,...,punctuation,,,,,,,,,,,,,,,
bio_1087,1,v2.8,ayrıca,adverb,,,,,,,,,,,,,,,
bio_1087,2,v2.8,ara,adjective,locative,plural number,third person,singular number,third person,,,,,,,,,,
bio_1087,3,v2.8,Türk,adjective,genitive,plural number,third person,,,,,,,,,,,,
bio_1087,4,v2.8,de,coordinating conjunction,,,,,,,,,,,,,,,
bio_1087,5,v2.8,bulun,verb,,,,singular number,third person,positive,past tense,perfect aspect,participle,,,,,,
bio_1087,6,v2.8,bir,determiner,,,,,,,,,,,,,,,
bio_1087,7,v2.8,briç,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,8,v2.8,takım,noun,accusative,plural number,third person,,,,,,,,,,,,
bio_1087,9,v2.8,var,verb,,singular number,third person,,,,past tense,,,non-first hand,,,,,
bio_1087,10,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
bio_1087,11,v2.8,briç,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,12,v2.8,oyna,verb,,singular number,third person,,,positive,present tense,habitual aspect,converb,,imperative,,,,
bio_1087,13,v2.8,yalnızca,adverb,,,,,,,,,,,,,,,
bio_1087,14,v2.8,Türkçe,adjective,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,15,v2.8,konuş,verb,dative,singular number,third person,,,positive,,,,,,,,,
bio_1087,16,v2.8,özen,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,17,v2.8,göster,verb,,plural number,third person,,,positive,present tense,habitual aspect,,non-first hand,,,,,
bio_1087,18,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1087,1,v2.11,ayrıca,adverb,,,,,,,,,,,,,,,
bio_1087,2,v2.11,ara,noun,locative,plural number,third person,singular number,third person,,,,,,,,,,
bio_1087,3,v2.11,Türk,proper noun,genitive,plural number,third person,,,,,,,,,,,,
bio_1087,4,v2.11,de,coordinating conjunction,,,,,,,,,,,,,,,
bio_1087,5,v2.11,bulun,verb,,,,singular number,third person,positive,past tense,perfect aspect,participle,,,,,,
bio_1087,6,v2.11,bir,determiner,,,,,,,,,,,,,,,
bio_1087,7,v2.11,briç,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,8,v2.11,takım,noun,accusative,plural number,third person,,,,,,,,,,,,
bio_1087,9-10,v2.11,,,,,,,,,,,,,,,,,
bio_1087,9,v2.11,var,noun,,singular number,third person,,,,,,,,,,,,
bio_1087,10,v2.11,y,auxiliary verb,,singular number,third person,,,positive,past tense,,,non-first hand,,,,,
bio_1087,11,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
bio_1087,12,v2.11,briç,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,13,v2.11,oyna,verb,,singular number,third person,,,positive,present tense,habitual aspect,converb,,imperative,,,,
bio_1087,14,v2.11,yalnızca,adverb,,,,,,,,,,,,,,,
bio_1087,15,v2.11,Türkçe,proper noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,16,v2.11,konuş,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
bio_1087,17,v2.11,özen,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_1087,18-19,v2.11,,,,,,,,,,,,,,,,,
bio_1087,18,v2.11,göster,verb,,plural number,third person,,,positive,present tense,habitual aspect,,,,,,,
bio_1087,19,v2.11,y,auxiliary verb,,singular number,third person,,,positive,past tense,,,non-first hand,,,,,
bio_1087,20,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1863,1,v2.8,böyle,adverb,,,,,,,,,,,,,,,
ins_1863,2,v2.8,su,noun,nominative,plural number,third person,singular number,third person,,,,,,,,,,
ins_1863,3,v2.8,Demir,adjective,nominative,singular number,third person,,,,,,,,,,,,
ins_1863,4,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
ins_1863,5,v2.8,manganez,adjective,ablative,singular number,third person,,,,,,,,,,,,
ins_1863,6,v2.8,kurtar,verb,nominative,,,,,positive,,,,,,,,,
ins_1863,7,v2.8,için,adposition,,,,,,,,,,,,,,,
ins_1863,8,v2.8,en,adverb,,,,,,,,,,,,,,,
ins_1863,9,v2.8,basit,adjective,,,,,,,,,,,,,,,
ins_1863,10,v2.8,usul,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1863,11,v2.8,",",punctuation,,,,,,,,,,,,,,,
ins_1863,12,v2.8,su,noun,accusative,plural number,third person,,,,,,,,,,,,
ins_1863,13-14,v2.8,,,,,,,,,,,,,,,,,
ins_1863,13,v2.8,hava,verb,nominative,singular number,third person,,,positive,,,,,,causative voice,,,
ins_1863,14,v2.8,i,auxiliary verb,nominative,singular number,third person,,,,,,,,,,,,
