sent_id,id,tb,lemma,pos,polarity,mood,person,number,case,verb form,tense,aspect,pronominal type,possessor's person,possessor's number,evidentiality,voice,numeral type
news_775,1,v2.8,"""",punctuation,,,,,,,,,,,,,,
news_775,2,v2.8,al,verb,positive,,,,,,,,,,,,,
news_775,3,v2.8,götür,verb,positive,desiderative,second person,singular number,,,,,,,,,,
news_775,4,v2.8,ben,pronoun,,,first person,singular number,accusative,,,,,,,,,
news_775,5,v2.8,ora,pronoun,,,third person,singular number,dative,,,,,,,,,
news_775,6,v2.8,"""",punctuation,,,,,,,,,,,,,,
news_775,1,v2.11,"""",punctuation,,,,,,,,,,,,,,
news_775,2,v2.11,al,verb,positive,,,,,converb,,,,,,,,
news_775,3-4,v2.11,,,,,,,,,,,,,,,,
news_775,3,v2.11,götür,verb,positive,,,,,participle,present tense,habitual aspect,,,,,,
news_775,4,v2.11,y,auxiliary verb,positive,conditional,second person,singular number,,,,,,,,,,
news_775,5,v2.11,ben,pronoun,,,first person,singular number,accusative,,,,personal,,,,,
news_775,6,v2.11,ora,pronoun,,,third person,singular number,dative,,,,locative pronoun,,,,,
news_775,7,v2.11,"""",punctuation,,,,,,,,,,,,,,
pop_93,1,v2.8,bu,determiner,,,,,,,,,,,,,,
pop_93,2,v2.8,yüz,noun,,,third person,singular number,ablative,,,,,,,,,
pop_93,3,v2.8,fiyasko,noun,,,third person,singular number,nominative,,,,,,,,,
pop_93,4,v2.8,de,verb,positive,indicative,,,nominative,verbal noun,present tense,perfect aspect,,,,,,
pop_93,5,v2.8,hâk,noun,,,third person,singular number,nominative,,,,,,,,,
pop_93,6,v2.8,ol,verb,positive,,third person,singular number,,,present tense,habitual aspect,,,,,,
pop_93,7,v2.8,.,punctuation,,,,,,,,,,,,,,
pop_1447,1,v2.11,(,punctuation,,,,,,,,,,,,,,
pop_1447,2,v2.11,ol,verb,negative,,third person,singular number,,,present tense,imperfect aspect,,,,,,
pop_1447,3,v2.11,ama,coordinating conjunction,,,,,,,,,,,,,,
pop_1447,4,v2.11,",",punctuation,,,,,,,,,,,,,,
pop_1447,5,v2.11,böyle,adverb,,,,,,,,,,,,,,
pop_1447,6,v2.11,de,particle,,,,,,,,,,,,,,
pop_1447,7,v2.11,ol,verb,negative,,third person,singular number,,,present tense,imperfect aspect,,,,,,
pop_1447,8,v2.11,abi,noun,,,third person,singular number,nominative,,,,,,,,,
pop_1447,9,v2.11,),punctuation,,,,,,,,,,,,,,
pop_1447,10,v2.11,.,punctuation,,,,,,,,,,,,,,
bio_1730,1,v2.8,birden,adverb,,,,,,,,,,,,,,
bio_1730,2,v2.8,ben,pronoun,,,first person,singular number,accusative,,,,,,,,,
bio_1730,3,v2.8,gör,noun,positive,,third person,singular number,ablative,,,,,third person,plural number,,,
bio_1730,4,v2.8,",",punctuation,,,,,,,,,,,,,,
bio_1730,5,v2.8,hatırla,noun,positive,,third person,singular number,ablative,,,,,third person,plural number,,,
bio_1730,6,v2.8,kork,verb,positive,,first person,singular number,,,present tense,progressive aspect,,,,,,
bio_1730,7,v2.8,.,punctuation,,,,,,,,,,,,,,
bio_1730,1,v2.11,bir,adverb,,,,,,,,,,,,,,
bio_1730,2,v2.11,ben,pronoun,,,first person,singular number,accusative,,,,personal,,,,,
bio_1730,3,v2.11,gör,verb,positive,,third person,singular number,ablative,,,,,third person,plural number,,,
bio_1730,4,v2.11,",",punctuation,,,,,,,,,,,,,,
bio_1730,5,v2.11,hatırla,verb,positive,,third person,singular number,ablative,,,,,third person,plural number,,,
bio_1730,6,v2.11,kork,verb,positive,,first person,singular number,,,present tense,imperfect aspect,,,,,,
bio_1730,7,v2.11,.,punctuation,,,,,,,,,,,,,,
ins_1661,1,v2.8,bir,determiner,,,,,,,,,,,,,,
ins_1661,2,v2.8,sonra,noun,,,third person,singular number,nominative,,,,,,,,,
ins_1661,3,v2.8,gel,noun,positive,,third person,singular number,locative,,,,,third person,plural number,,,
ins_1661,4,v2.8,düz,noun,,,third person,singular number,nominative,,,,,third person,singular number,,,
ins_1661,5,v2.8,daha,adverb,,,,,,,,,,,,,,
ins_1661,6,v2.8,berbat,noun,,,third person,singular number,nominative,,,,,,,,,
ins_1661,7,v2.8,bul,verb,positive,,third person,plural number,,,past tense,,,,,non-first hand,,
ins_1661,8,v2.8,.,punctuation,,,,,,,,,,,,,,
bio_1319,1,v2.11,bir,determiner,,,,,,,,,,,,,,
bio_1319,2,v2.11,türlü,adverb,,,,,,,,,,,,,,
bio_1319,3-4,v2.11,,,,,,,,,,,,,,,,
bio_1319,3,v2.11,avun,verb,positive,potential,,,,participle,,imperfect aspect,,,,,,
bio_1319,4,v2.11,y,auxiliary verb,positive,,third person,singular number,,,past tense,,,,,non-first hand,,
bio_1319,5,v2.11,.,punctuation,,,,,,,,,,,,,,
ess_168,1,v2.8,"""",punctuation,,,,,,,,,,,,,,
ess_168,2,v2.8,madde,adverb,,,,,,,,,,,,,,
ess_168,3,v2.8,madde,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,4,v2.8,"""",punctuation,,,,,,,,,,,,,,
ess_168,5,v2.8,ben,pronoun,,,first person,singular number,dative,,,,,,,,,
ess_168,6,v2.8,sağ,noun,,,third person,plural number,nominative,,,,,,,,,
ess_168,7,v2.8,cinayet,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,8,v2.8,işle,verb,positive,,third person,singular number,,,present tense,progressive aspect,,,,,,
ess_168,9,v2.8,de,noun,,,,,,,,,,,,,,
ess_168,10,v2.8,.,punctuation,,,,,,,,,,,,,,
ess_168,11,v2.8,"""",punctuation,,,,,,,,,,,,,,
ess_168,12,v2.8,insan,noun,,,third person,singular number,accusative,,,,,,,,,
ess_168,13,v2.8,al,verb,positive,,,,,,,,,,,,,
ess_168,14,v2.8,uçurum,noun,,,third person,singular number,ablative,,,,,,,,,
ess_168,15,v2.8,it,verb,positive,,,,,participle,present tense,,,,,,,
ess_168,16,v2.8,tek,adjective,,,,,,,,,,,,,,
ess_168,17,v2.8,şey,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,18,v2.8,.,punctuation,,,,,,,,,,,,,,
ess_168,1,v2.11,"""",punctuation,,,,,,,,,,,,,,
ess_168,2,v2.11,madde,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,3,v2.11,madde,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,4,v2.11,"""",punctuation,,,,,,,,,,,,,,
ess_168,5,v2.11,ben,pronoun,,,first person,singular number,dative,,,,personal,,,,,
ess_168,6,v2.11,sağcı,noun,,,third person,plural number,nominative,,,,,,,,,
ess_168,7,v2.11,cinayet,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,8,v2.11,işle,verb,positive,,third person,singular number,,,present tense,imperfect aspect,,,,,,
ess_168,9,v2.11,de,verb,negative,,second person,plural number,,,present tense,habitual aspect,,,,,causative voice,
ess_168,10,v2.11,.,punctuation,,,,,,,,,,,,,,
ess_168,11,v2.11,"""",punctuation,,,,,,,,,,,,,,
ess_168,12,v2.11,insan,noun,,,third person,singular number,accusative,,,,,,,,,
ess_168,13,v2.11,al,verb,positive,,,,,converb,,,,,,,,
ess_168,14,v2.11,uçurum,noun,,,third person,singular number,ablative,,,,,,,,,
ess_168,15,v2.11,it,verb,positive,,,,,participle,present tense,,,,,,,
ess_168,16,v2.11,tek,adjective,,,,,,,,,,,,,,
ess_168,17,v2.11,şey,noun,,,third person,singular number,nominative,,,,,,,,,
ess_168,18,v2.11,.,punctuation,,,,,,,,,,,,,,
bio_1401,1,v2.8,ama,coordinating conjunction,,,,,,,,,,,,,,
bio_1401,2,v2.8,on,numeral,,,,,,,,,,,,,,cardinal number
bio_1401,3,v2.8,üç,numeral,,,,,,,,,,,,,,cardinal number
bio_1401,4,v2.8,on,numeral,,,,,,,,,,,,,,cardinal number
bio_1401,5,v2.8,dört,numeral,,,,,,,,,,,,,,cardinal number
bio_1401,6,v2.8,yaş,verb,positive,indicative,,,nominative,verbal noun,present tense,perfect aspect,,,,,,
bio_1401,7,v2.8,gel,verb,positive,,third person,singular number,locative,participle,past tense,perfect aspect,,first person,singular number,,,
bio_1401,8,v2.8,",",punctuation,,,,,,,,,,,,,,
bio_1401,9,v2.8,gen,adverb,,,,,,,,,,,,,,
bio_1401,10,v2.8,ev,noun,,,third person,singular number,locative,,,,,,,,,
bio_1401,11,v2.8,konuş,noun,positive,,third person,plural number,ablative,,,,,,,,,
bio_1401,12,v2.8,",",punctuation,,,,,,,,,,,,,,
bio_1401,13,v2.8,bil,verb,positive,,first person,singular number,,,past tense,progressive aspect,,,,first hand,,
bio_1401,14,v2.8,bu,pronoun,,,third person,plural number,genitive,,,,,,,,,
bio_1401,15,v2.8,ol,verb,positive,,third person,singular number,accusative,participle,past tense,perfect aspect,,third person,singular number,,,
bio_1401,16,v2.8,.,punctuation,,,,,,,,,,,,,,
bio_902,1,v2.8,bu,pronoun,,,third person,singular number,accusative,,,,,,,,,
bio_902,2,v2.8,de,verb,positive,,third person,plural number,nominative,participle,present tense,,,,,,,
bio_902,3,v2.8,"""",punctuation,,,,,,,,,,,,,,
bio_902,4,v2.8,Anadolu,proper noun,,,third person,singular number,nominative,,,,,,,,,
bio_902,5,v2.8,çocuk,noun,,,third person,plural number,nominative,,,,,third person,singular number,,,
bio_902,6,v2.8,"""",punctuation,,,,,,,,,,,,,,
bio_902,7,v2.8,.,punctuation,,,,,,,,,,,,,,
ess_1244,1,v2.8,ya,coordinating conjunction,,,,,,,,,,,,,,
ess_1244,2,v2.8,da,coordinating conjunction,,,,,,,,,,,,,,
ess_1244,3,v2.8,o,pronoun,,,third person,singular number,accusative,,,,,,,,,
ess_1244,4,v2.8,"""",punctuation,,,,,,,,,,,,,,
ess_1244,5,v2.8,paketle,noun,,,,,,,,,,,,,,
ess_1244,6,v2.8,"""",punctuation,,,,,,,,,,,,,,
ess_1244,7,v2.8,bir,numeral,,,,,,,,,,,,,,cardinal number
ess_1244,8,v2.8,bakım,noun,,,third person,singular number,dative,,,,,,,,,
ess_1244,9,v2.8,...,punctuation,,,,,,,,,,,,,,
ins_199,1,v2.11,iç,noun,,,third person,singular number,dative,,,,,first person,plural number,,,
ins_199,2,v2.11,doy,verb,positive,optative,third person,singular number,,,,,,,,,,
ins_199,3,v2.11,doy,verb,positive,optative,third person,singular number,,,,,,,,,,
ins_199,4-5,v2.11,,,,,,,,,,,,,,,,
ins_199,4,v2.11,çek,verb,positive,,first person,plural number,,participle,,habitual aspect,,,,,,
ins_199,5,v2.11,y,auxiliary verb,positive,,first person,plural number,,,present tense,habitual aspect,,,,first hand,,
ins_199,6,v2.11,bu,determiner,,,,,,,,,,,,,,
ins_199,7,v2.11,var,noun,positive,,third person,singular number,,,,,,,,,,
ins_199,8,v2.11,ol,verb,positive,,third person,singular number,genitive,verbal noun,,,,,,,,
ins_199,9,v2.11,koku,noun,,,third person,singular number,accusative,,,,,third person,singular number,,,
ins_199,10,v2.11,.,punctuation,,,,,,,,,,,,,,
ins_1051,1,v2.8,TUBİTAK,noun,,,third person,singular number,nominative,,,,,,,,,
ins_1051,2,v2.8,:,punctuation,,,,,,,,,,,,,,
ins_1051,3,v2.8,alan,noun,,,third person,singular number,nominative,,,,,,,,,
ins_1051,4,v2.8,ad(I),noun,,,third person,singular number,accusative,,,,,third person,singular number,,,
ins_1051,5,v2.8,göster,verb,positive,,third person,singular number,,,present tense,habitual aspect,,,,,,
ins_1051,6,v2.8,.,punctuation,,,,,,,,,,,,,,
ins_1051,1,v2.11,TUBİTAK,proper noun,,,third person,singular number,nominative,,,,,,,,,
ins_1051,2,v2.11,:,punctuation,,,,,,,,,,,,,,
ins_1051,3,v2.11,alan,noun,,,third person,singular number,nominative,,,,,,,,,
ins_1051,4,v2.11,ad,noun,,,third person,singular number,accusative,,,,,third person,singular number,,,
ins_1051,5,v2.11,göster,verb,positive,,third person,singular number,,,present tense,habitual aspect,,,,,,
