Sentence ID,OK?,Notes,Words,,Annotations link
ess_1244,no,,,,
news_1115,yes,,"4, 5, 6",,
bio_1990,yes,,,,
news_1690,yes,,"10, 11",,
ins_1313,no,,,,
ins_1540,no,,,,
bio_390,yes,,,,
pop_1033,yes,,8,,
pop_1447,yes,,"2, 7",,
ess_1514,yes,,"3, 4, 8",,
bio_889,yes,,5,,
ess_1150,no,hırçın yanlış bölünmüş her iki versiyonda,,,
news_1844,no, başka sıfat olmalı her ikisinde de,,,
ins_633,no ,etkin sıfat olmalı,,,
ess_1356,no,v2.8 case hatası,,,
pop_1600,no,,,,
pop_63,yes,,,,
ins_1863,no,v2.8 case hatası,,,
ins_1085,no,v2.8 uçarlar case almış,,,
bio_307,yes,,"3, 13",,
bio_1697,no,v2.8 uyandıracağıma eksik,,,
bio_1380,no,ama bu pırıl parla örneği,,,
ins_1938,yes,,"4, 8, 11, 17, 18",,
ess_660,no,lemma topl,,,
ins_887,yes,,,,
ins_686,no,v2.8 yazın kategorisi,,,
ins_636,yes,,14,,
news_1273,yes,,2,,
ins_1076,no,v2.8 olduğunda eksik,,,
ins_791,yes,?,5,,
bio_1087,no,,,,
ess_375,no,,,,
ess_561,no,,,,
news_1406,yes,,"1, 3",,
ins_1892,yes,,8,,
ess_1204,no,,,,
bio_1796,no,,,,
pop_1612,yes,,2,,
ess_329,yes,yükseliş,"16, 23, 31",,
bio_1666,yes,,16,,
pop_1193,yes,,7,,
pop_1585,yes,,2,,
bio_1386,yes,,,,
ess_776,no,,,,
pop_62,yes,,,,
pop_1579,yes,,,,
news_7,no,,,,
ins_274,yes,,,,
bio_1401,yes,? konuş,"11, 17",,
ess_1552,no,,,,
news_291,yes,,"2, 5, 10, 12, 23",,
pop_1761,no,ama bu kaşlı örnek,,,
ess_976,no,,,,
ess_441,no,orta adj,,,
ins_1184,no,,,,
news_1043,yes,,3,,
ess_293,no,,,,
ins_1037,yes,,"4, 9",,
news_1434,no,,,,
ess_149,no,,,,
pop_894,no,,,,
news_960,no,,,,
pop_802,yes,,"2, 5",,
ess_108,no,,,,
pop_847,yes,,"3, 13",,
news_697,yes,,"6, 10",,
ess_1924,yes,,4,,
ins_414,yes,,11,,
bio_265,yes,,"3, 8",,
ess_539,yes,,,,
pop_795,yes,,"8, 16",,
ess_825,yes,,2,,
ins_613,no,ama hiç kuşkusuz,,,
news_1295,yes,,,,
ins_523,no,,,,
news_1344,no,,,,
bio_433,yes,,"8, 9, 14, 23",,
pop_929,yes,,"10, 11",,
ess_1248,no,,"1, 6, 7",,
ins_920,yes,,,,
news_910,no,,,,
bio_3,no,,,,
ess_1832,yes,,,,
ess_1103,no,,,,
pop_1901,no,,,,
pop_85,no,,12,,
ins_1641,no,,,,
news_1727,yes,,21,,
news_631,yes,,7,,
bio_1981,no,,,,
news_81,yes,,8,,
ins_1239,yes,,5,,
ins_808,yes,,,,
ess_624,yes,,12,,
bio_1657,yes,,"8, 17, 19",,
ins_1523,no,,,,
bio_562,yes,,"3, 7",,
bio_1762,no,ama v2.11 passive'i düzeltmiş,,,
ess_75,yes,,"6, 10, 15, 16",,
ess_316,,,"1, 3, 4, 10, 11, 15",,
