ID,Form,Lemma,POS,Features,Head,Deprel,UD documentation
1,geçmiş,geçmiş,ADV,_,olan,advmod,pos tags
2,oturma,otur,NOUN,_,,,features
3,bana,ben,PRON,Case=Dat|Number=Sing|Person=1,oğullarım,obl,dependency relations
4,bunlar,bu,PRON,Case=Nom|Number=Plur|Person=3,kullanışlı,nsubj,
5,olan,ol,ADJ,_,,,
6,seni,sen,PRON,Case=Acc|Number=Sing|Person=2,Kızılırmak,obl,
7,bizlere,biz,PRON,Case=Dat|Number=Plur|Person=1,,,
8,değişim,değişim,ADV,_,uzaklaşıyor,advmod,
9,var,var,ADJ,_,,,
10,vardı,var,VERB,Aspect=Perf|Evident=Fh|Number=Sing|Person=3|Tense=Past,,,
11,çeviriler,çeviri,NOUN,Case=Nom|Number=Plur|Person=3,,,
12,yakma,yak,NOUN,_,,,
13,dağılıyor,dağıl,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
14,ATATÜRK,ATATÜRK,ADV,_,öne,advmod,
15,yer,yer,NOUN,Case=Nom|Number=Sing|Person=3,parktı,obj,
16,sana,san,PRON,Case=Dat|Number=Sing|Person=3,,,
17,diyor,de,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,root,root,
18,vermiyoruz,ver,VERB,Aspect=Prog|Number=Plur|Person=1|Polarity=Neg|Tense=Pres,dedi,ccomp,
19,yürüyerek,yürü,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv,indim,nmod,
20,hapşırıyorum,hapşır,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Pos|Tense=Pres,,,
21,toplu,toplu,VERB,Evident=Nfh|Number=Sing|Person=3|Polarity=Pos|Tense=Past|Voice=Pass,bilançosundaki,acl,
22,olan,ol,ADP,_,gözenek,case,
23,bunlara,bu,PRON,Case=Dat|Number=Plur|Person=3,yok,obl,
24,buna,bu,PRON,Case=Dat|Number=Sing|Person=3,pompalayabilir,obl,
25,dönüşmeme,dönüş,VERB,Polarity=Neg,,,
26,düşürtecek,düşür,VERB,Aspect=Imp|Polarity=Pos|Tense=Fut|VerbForm=Part|Voice=Cau,,,
27,sevmiyorum,sev,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Neg|Tense=Pres,root,root,
28,çıkıyor,çık,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
29,kim,kim,PRON,Case=Nom|Number=Sing|Person=3,,,
30,hakiki,Hakiki,NOUN,Case=Nom|Number=Sing|Person=3,bilmem,obj,
31,gözetim,gözet,VERB,Case=Nom|Polarity=Pos,durumunda,nmod:poss,
32,derledi,derle,NOUN,_,root,root,
33,belirlenmesinde,belirle,VERB,Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3|Polarity=Pos|Voice=Pass,oluşmasında,conj,
34,edilmende,et,VERB,Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=2|Polarity=Pos|Voice=Pass,yad,compound:lvc,
35,orayı,ora,PRON,Case=Acc|Number=Sing|Person=3,,,
36,eğitim,eğitim,NOUN,Case=Nom|Number=Sing|Person=3,gören,obj,
37,seni,sen,PRON,Case=Acc|Number=Sing|Person=2,gönderip,obj,
38,neden,neden,ADV,_,,,
39,istemiyorum,iste,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Neg|Tense=Pres,root,root,
40,biz,biz,PRON,Case=Nom|Number=Plur|Person=1,,,
41,not,not,NOUN,Case=Nom|Number=Sing|Person=3,,,
42,buna,bu,PRON,Case=Dat|Number=Sing|Person=3,,,
43,bilinmeyen,bil,NOUN,_,sözler,acl,
44,tanıyı,tanı,NOUN,_,yazarız,obl,
45,onun,o,PRON,Case=Gen|Number=Sing|Person=3,,,
46,sizin,siz,PRON,Case=Gen|Number=Plur|Person=2,bildiğiniz,nsubj,
47,çıkmış,çık,VERB,Evident=Nfh|Number=Sing|Person=3|Polarity=Pos|Tense=Past,görünüyor,csubj,
48,ister,iste,NOUN,_,root,root,
49,gider,git,NOUN,_,,,
50,kılacağız,kıl,VERB,Aspect=Imp|Number=Plur|Person=1|Polarity=Pos|Tense=Fut,root,root,
51,etme,et,NOUN,_,,,
52,bulunmak,bulun,PRON,_,,,
53,gözler,göz,NOUN,Case=Nom|Number=Plur|Person=3,root,root,
54,beni,ben,PRON,Case=Acc|Number=Sing|Person=1,,,
55,bakılacak,bak,VERB,Aspect=Imp|Polarity=Pos|Tense=Fut|VerbForm=Part|Voice=Pass,olursa,obj,
56,olacağım,ol,VERB,Aspect=Imp|Number=Plur|Person=1|Polarity=Pos|Tense=Fut,,,
57,sos,sos,NOUN,Case=Nom|Number=Sing|Person=3,kalınlaştırmada,obj,
58,iniyorum,in,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Pos|Tense=Pres,duruyor,conj,
59,giyer,giy,ADJ,_,root,root,
60,atıldı,at,VERB,Aspect=Perf|Evident=Fh|Number=Sing|Person=3|Polarity=Pos|Tense=Past|Voice=Pass,,,
61,üstlenmekten,üstlen,VERB,Case=Abl|Polarity=Pos,,,
62,poz,poz,NOUN,Case=Nom|Number=Sing|Person=3,VERİR,obj,
63,kola,kola,VERB,Case=Nom|Number=Sing|Person=3,kol,compound:redup,
64,el,el,NOUN,Case=Nom|Number=Sing|Person=3,,,
65,hazırlayandır,hazırla,ADJ,_,root,root,
66,anahtarla,anahtarla,NOUN,_,açar,nmod,
