ID,Form,Lemma,POS,Features,Head,Deprel,UD documentation
1,geçmiş,geçmiş,ADV,_,olan,advmod,pos tags
2,oturmak,otur,NOUN,_,,,features
3,bana,ben,PRON,Case=Dat|Number=Sing|Person=1,oğullarım,obl,dependency relations
4,bunlar,bu,PRON,Case=Nom|Number=Plur|Person=3,kullanışlı,nsubj,
5,olan,ol,ADJ,_,,,
6,seni,sen,PRON,Case=Acc|Number=Sing|Person=2,Kızılırmak,obl,
7,bizlere,biz,PRON,Case=Dat|Number=Plur|Person=1,,,
8,değişim,değişim,ADV,_,uzaklaşıyor,advmod,
9,var,var,ADJ,_,,,
10,vardı,var,VERB,Aspect=Perf|Evident=Fh|Number=Sing|Person=3|Tense=Past,,,
11,çeviriler,çeviri,NOUN,Case=Nom|Number=Plur|Person=3,,,
12,yakmak,yak,NOUN,_,,,
13,dağılıyor,dağıl,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
14,ATATÜRK,ATATÜRK,ADV,_,öne,advmod,
15,yer,yer,NOUN,Case=Nom|Number=Sing|Person=3,parktı,obj,
16,sana,san ,PRON,Case=Dat|Number=Sing|Person=3,,,"lemma ""sen"" olabilir mi?"
17,diyor,de,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,root,root,
18,vermemekteyiz,ver,VERB,Aspect=Prog|Number=Plur|Person=1|Polarity=Neg|Tense=Pres,dedi,ccomp,
19,yürüyerek,yürü,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv,indim,nmod,
20,hapşırıyorum,hapşır,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Pos|Tense=Pres,,,
21,toplanmış,toplu,VERB,Evident=Nfh|Number=Sing|Person=3|Polarity=Pos|Tense=Past|Voice=Pass,bilançosundaki,acl,
22,olarak,ol,ADP,_,gözenek,case,
23,bunlara,bu,PRON,Case=Dat|Number=Plur|Person=3,yok,obl,
24,buna,bu,PRON,Case=Dat|Number=Sing|Person=3,pompalayabilir,obl,
25,dönüşme,dönüş,VERB,Polarity=Neg,,,
26,düşürtecek,düşür,VERB,Aspect=Imp|Polarity=Pos|Tense=Fut|VerbForm=Part|Voice=Cau,,,
27,sevmiyorum,sev,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Neg|Tense=Pres,root,root,
28,çıkıyor,çık,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
29,kim,kim,PRON,Case=Nom|Number=Sing|Person=3,,,
30,Hakiki,Hakiki,NOUN,Case=Nom|Number=Sing|Person=3,bilmem,obj,
31,gözetmek,gözet,VERB,Case=Nom|Polarity=Pos,durumunda,nmod:poss,
32,derlemek,derle,NOUN,_,root,root,
33,belirlenmesinde,belirle,VERB,Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3|Polarity=Pos|Voice=Pass,oluşmasında,conj,
