sent_id,id,tb,lemma,pos,case,number,person,mood,polarity,tense,evidentiality,verb form,aspect,pronominal type,possessor's person,possessor's number,voice,numeral type,reflexivity
ins_922,1,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ins_922,2,v2.8,ATATÜRK,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ins_922,3,v2.8,bu,determiner,,,,,,,,,,,,,,,
ins_922,4,v2.8,kitap,noun,accusative,plural number,third person,,,,,,,,,,,,
ins_922,5,v2.8,bir,determiner,,,,,,,,,,,,,,,
ins_922,6,v2.8,süs,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_922,7,v2.8,ol,verb,,singular number,third person,imperative,positive,,,,,,,,,,
ins_922,8,v2.8,diye,adposition,,,,,,,,,,,,,,,
ins_922,9,v2.8,topla,verb,,singular number,third person,,negative,past tense,non-first hand,,,,,,,,
ins_922,10,v2.8,.,punctuation,,,,,,,,,,,,,,,
news_775,1,v2.8,"""",punctuation,,,,,,,,,,,,,,,
news_775,2,v2.8,al,verb,,,,,positive,,,,,,,,,,
news_775,3,v2.8,götür,verb,,singular number,second person,desiderative,positive,,,,,,,,,,
news_775,4,v2.8,ben,pronoun,accusative,singular number,first person,,,,,,,,,,,,
news_775,5,v2.8,ora,pronoun,dative,singular number,third person,,,,,,,,,,,,
news_775,6,v2.8,"""",punctuation,,,,,,,,,,,,,,,
news_775,1,v2.11,"""",punctuation,,,,,,,,,,,,,,,
news_775,2,v2.11,al,verb,,,,,positive,,,converb,,,,,,,
news_775,3-4,v2.11,,,,,,,,,,,,,,,,,
news_775,3,v2.11,götür,verb,,,,,positive,present tense,,participle,habitual aspect,,,,,,
news_775,4,v2.11,y,auxiliary verb,,singular number,second person,conditional,positive,,,,,,,,,,
news_775,5,v2.11,ben,pronoun,accusative,singular number,first person,,,,,,,personal,,,,,
news_775,6,v2.11,ora,pronoun,dative,singular number,third person,,,,,,,locative pronoun,,,,,
news_775,7,v2.11,"""",punctuation,,,,,,,,,,,,,,,
pop_93,1,v2.8,bu,determiner,,,,,,,,,,,,,,,
pop_93,2,v2.8,yüz,noun,ablative,singular number,third person,,,,,,,,,,,,
pop_93,3,v2.8,fiyasko,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_93,4,v2.8,de,verb,nominative,,,indicative,positive,present tense,,verbal noun,perfect aspect,,,,,,
pop_93,5,v2.8,hâk,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_93,6,v2.8,ol,verb,,singular number,third person,,positive,present tense,,,habitual aspect,,,,,,
pop_93,7,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_1447,1,v2.11,(,punctuation,,,,,,,,,,,,,,,
pop_1447,2,v2.11,ol,verb,,singular number,third person,,negative,present tense,,,imperfect aspect,,,,,,
pop_1447,3,v2.11,ama,coordinating conjunction,,,,,,,,,,,,,,,
pop_1447,4,v2.11,",",punctuation,,,,,,,,,,,,,,,
pop_1447,5,v2.11,böyle,adverb,,,,,,,,,,,,,,,
pop_1447,6,v2.11,de,particle,,,,,,,,,,,,,,,
pop_1447,7,v2.11,ol,verb,,singular number,third person,,negative,present tense,,,imperfect aspect,,,,,,
pop_1447,8,v2.11,abi,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1447,9,v2.11,),punctuation,,,,,,,,,,,,,,,
pop_1447,10,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_1730,1,v2.8,birden,adverb,,,,,,,,,,,,,,,
bio_1730,2,v2.8,ben,pronoun,accusative,singular number,first person,,,,,,,,,,,,
bio_1730,3,v2.8,gör,noun,ablative,singular number,third person,,positive,,,,,,third person,plural number,,,
bio_1730,4,v2.8,",",punctuation,,,,,,,,,,,,,,,
bio_1730,5,v2.8,hatırla,noun,ablative,singular number,third person,,positive,,,,,,third person,plural number,,,
bio_1730,6,v2.8,kork,verb,,singular number,first person,,positive,present tense,,,progressive aspect,,,,,,
bio_1730,7,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1730,1,v2.11,bir,adverb,,,,,,,,,,,,,,,
bio_1730,2,v2.11,ben,pronoun,accusative,singular number,first person,,,,,,,personal,,,,,
bio_1730,3,v2.11,gör,verb,ablative,singular number,third person,,positive,,,,,,third person,plural number,,,
bio_1730,4,v2.11,",",punctuation,,,,,,,,,,,,,,,
bio_1730,5,v2.11,hatırla,verb,ablative,singular number,third person,,positive,,,,,,third person,plural number,,,
bio_1730,6,v2.11,kork,verb,,singular number,first person,,positive,present tense,,,imperfect aspect,,,,,,
bio_1730,7,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1378,1,v2.11,kitap,noun,accusative,plural number,third person,,,,,,,,third person,plural number,,,
ins_1378,2,v2.11,oku,verb,nominative,plural number,third person,,positive,present tense,,participle,,,,,,,
ins_1378,3,v2.11,yarı,noun,genitive,singular number,third person,,,,,,,,,,,,
ins_1378,4,v2.11,Dünya,noun,accusative,singular number,third person,,,,,,,,third person,singular number,,,
ins_1378,5,v2.11,gör,verb,,singular number,third person,,positive,present tense,,,habitual aspect,,,,,,
ins_1378,6,v2.11,gibi,adposition,,,,,,,,,,,,,,,
ins_1378,7-8,v2.11,,,,,,,,,,,,,,,,,
ins_1378,7,v2.11,ol,verb,,,,,positive,,,participle,habitual aspect,,,,,,
ins_1378,8,v2.11,y,auxiliary verb,,singular number,third person,,positive,past tense,first hand,,,,,,,,
ins_1378,9,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1049,1,v2.8,çoğu,determiner,,,,,,,,,,,,,,,
ins_1049,2,v2.8,deniz,noun,dative,singular number,third person,,,,,,,,,,,,
ins_1049,3,v2.8,gir,verb,nominative,,,,positive,,,,,,,,,,
ins_1049,4,v2.8,yer,noun,dative,singular number,third person,,,,,,,,third person,singular number,,,
ins_1049,5,v2.8,güneşle,verb,accusative,singular number,third person,,positive,,,,,,,,passive voice,,
ins_1049,6,v2.8,seç,verb,,singular number,third person,,positive,past tense,non-first hand,,,,,,,,
ins_1049,7-8,v2.8,,,,,,,,,,,,,,,,,
ins_1049,7,v2.8,gibi,adposition,,,,,,,,,,,,,,,
ins_1049,8,v2.8,i,auxiliary verb,nominative,singular number,third person,,,,,,,,,,,,
ins_1049,9,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_316,1,v2.8,anlat,verb,accusative,singular number,third person,,positive,,,,,,,,,,
ess_316,2,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_316,3,v2.8,uyan,verb,accusative,singular number,third person,,positive,,,,,,,,causative voice,,
ess_316,4,v2.8,sür,verb,nominative,,,potential,positive,,,,,,,,causative voice,,
ess_316,5,v2.8,için,adposition,,,,,,,,,,,,,,,
ess_316,6,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_316,7,v2.8,ayak,noun,locative,singular number,third person,,,,,,,,,,,,
ess_316,8,v2.8,-,punctuation,,,,,,,,,,,,,,,
ess_316,9,v2.8,diri,pronoun,nominative,singular number,third person,,,,,,,indefinite pronoun,third person,singular number,,,
ess_316,10,v2.8,kal,verb,accusative,singular number,third person,,positive,,,,,,,,,,
ess_316,11,v2.8,becer,verb,nominative,singular number,third person,,positive,,,,,,,,,,
ess_316,12,v2.8,zorunlu,noun,accusative,singular number,third person,,,,,,,,third person,singular number,,,
ess_316,13,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_316,14,v2.8,sorumlu,noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
ess_316,15,v2.8,duy,verb,ablative,,,,positive,,,,,,,,,,
ess_316,16,v2.8,...,punctuation,,,,,,,,,,,,,,,
ins_1661,1,v2.8,bir,determiner,,,,,,,,,,,,,,,
ins_1661,2,v2.8,sonra,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1661,3,v2.8,gel,noun,locative,singular number,third person,,positive,,,,,,third person,plural number,,,
ins_1661,4,v2.8,düz,noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
ins_1661,5,v2.8,daha,adverb,,,,,,,,,,,,,,,
ins_1661,6,v2.8,berbat,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1661,7,v2.8,bul,verb,,plural number,third person,,positive,past tense,non-first hand,,,,,,,,
ins_1661,8,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1319,1,v2.8,bir,adverb,,,,,,,,,,,,,,,
bio_1319,2,v2.8,türlü,adjective,nominative,singular number,third person,,,,,,,,,,,,
bio_1319,3,v2.8,avun,verb,,singular number,third person,,negative,past tense,non-first hand,,progressive aspect,,,,,,
bio_1319,4,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1319,1,v2.11,bir,determiner,,,,,,,,,,,,,,,
bio_1319,2,v2.11,türlü,adverb,,,,,,,,,,,,,,,
bio_1319,3-4,v2.11,,,,,,,,,,,,,,,,,
bio_1319,3,v2.11,avun,verb,,,,potential,positive,,,participle,imperfect aspect,,,,,,
bio_1319,4,v2.11,y,auxiliary verb,,singular number,third person,,positive,past tense,non-first hand,,,,,,,,
bio_1319,5,v2.11,.,punctuation,,,,,,,,,,,,,,,
pop_1154,1,v2.11,Balık,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1154,2,v2.11,kendi,pronoun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
pop_1154,3,v2.11,hayal,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_1154,4,v2.11,Dünya,noun,locative,singular number,third person,,,,,,,,third person,singular number,,,
pop_1154,5,v2.11,yaşa,verb,,singular number,third person,,positive,present tense,,,habitual aspect,,,,,,
pop_1154,6,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_788,1,v2.8,sabıka,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_788,2,v2.8,dosya,noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
bio_788,3,v2.8,kabarık,adjective,,,,,,,,,,,,,,,
bio_788,4,v2.8,biri,adverb,,,,,,,,,,,,,,,
bio_788,5,v2.8,ol,adposition,,,,,,,,,,,,,,,
bio_788,6,v2.8,yap,verb,,singular number,first person,potential,positive,future tense,,,imperfect aspect,,,,,,
bio_788,7,v2.8,en,adverb,,,,,,,,,,,,,,,
bio_788,8,v2.8,iyi,adjective,,,,,,,,,,,,,,,
bio_788,9,v2.8,şey,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_788,10,v2.8,yat,verb,,singular number,third person,,positive,future tense,,,imperfect aspect,,,,,,
bio_788,11,v2.8,yer,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_788,12,v2.8,ver,verb,,,,potential,positive,present tense,,participle,,,,,,,
bio_788,13,v2.8,bir,determiner,,,,,,,,,,,,,,,
bio_788,14,v2.8,iş,noun,dative,singular number,third person,,,,,,,,,,,,
bio_788,15-16,v2.8,,,,,,,,,,,,,,,,,
bio_788,15,v2.8,gir,verb,nominative,,,,positive,,,,,,,,,,
bio_788,16,v2.8,i,auxiliary verb,nominative,singular number,third person,,,,,,,,,,,,
bio_788,17,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_482,1,v2.8,ama,coordinating conjunction,,,,,,,,,,,,,,,
bio_482,2,v2.8,şimdi,adverb,,,,,,,,,,,,,,,
bio_482,3,v2.8,fedakâr,noun,nominative,singular number,third person,,,,,,,,,,,,
bio_482,4,v2.8,sıra,noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
bio_482,5,v2.8,bent,pronoun,dative,singular number,third person,,,,,,,,,,,,
bio_482,6,v2.8,i,auxiliary verb,,singular number,third person,,positive,past tense,first hand,,perfect aspect,,,,,,
bio_482,7,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_168,1,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_168,2,v2.8,madde,adverb,,,,,,,,,,,,,,,
ess_168,3,v2.8,madde,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,4,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_168,5,v2.8,ben,pronoun,dative,singular number,first person,,,,,,,,,,,,
ess_168,6,v2.8,sağ,noun,nominative,plural number,third person,,,,,,,,,,,,
ess_168,7,v2.8,cinayet,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,8,v2.8,işle,verb,,singular number,third person,,positive,present tense,,,progressive aspect,,,,,,
ess_168,9,v2.8,de,noun,,,,,,,,,,,,,,,
ess_168,10,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_168,11,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_168,12,v2.8,insan,noun,accusative,singular number,third person,,,,,,,,,,,,
ess_168,13,v2.8,al,verb,,,,,positive,,,,,,,,,,
ess_168,14,v2.8,uçurum,noun,ablative,singular number,third person,,,,,,,,,,,,
ess_168,15,v2.8,it,verb,,,,,positive,present tense,,participle,,,,,,,
ess_168,16,v2.8,tek,adjective,,,,,,,,,,,,,,,
ess_168,17,v2.8,şey,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,18,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_168,1,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_168,2,v2.11,madde,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,3,v2.11,madde,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,4,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_168,5,v2.11,ben,pronoun,dative,singular number,first person,,,,,,,personal,,,,,
ess_168,6,v2.11,sağcı,noun,nominative,plural number,third person,,,,,,,,,,,,
ess_168,7,v2.11,cinayet,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,8,v2.11,işle,verb,,singular number,third person,,positive,present tense,,,imperfect aspect,,,,,,
ess_168,9,v2.11,de,verb,,plural number,second person,,negative,present tense,,,habitual aspect,,,,causative voice,,
ess_168,10,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_168,11,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_168,12,v2.11,insan,noun,accusative,singular number,third person,,,,,,,,,,,,
ess_168,13,v2.11,al,verb,,,,,positive,,,converb,,,,,,,
ess_168,14,v2.11,uçurum,noun,ablative,singular number,third person,,,,,,,,,,,,
ess_168,15,v2.11,it,verb,,,,,positive,present tense,,participle,,,,,,,
ess_168,16,v2.11,tek,adjective,,,,,,,,,,,,,,,
ess_168,17,v2.11,şey,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_168,18,v2.11,.,punctuation,,,,,,,,,,,,,,,
