sent_id,tb,text
pop_1901,v2.8,
pop_1901,v2.11,
bio_1087,v2.8,
bio_1087,v2.11,
ins_1863,v2.8,
ins_1863,v2.11,
bio_1401,v2.8,
bio_1401,v2.11,
ess_316,v2.8,
ess_316,v2.11,
pop_795,v2.8,
pop_795,v2.11,
ess_976,v2.8,
ess_976,v2.11,
ins_613,v2.8,
ins_613,v2.11,
pop_85,v2.8,
pop_85,v2.11,
ess_1514,v2.8,
ess_1514,v2.11,
news_1434,v2.8,
news_1434,v2.11,
news_1344,v2.8,
news_1344,v2.11,
ins_1085,v2.8,
ins_1085,v2.11,
ins_1037,v2.8,
ins_1037,v2.11,
bio_1990,v2.8,
bio_1990,v2.11,
pop_1612,v2.8,
pop_1612,v2.11,
ins_1076,v2.8,
ins_1076,v2.11,
bio_1762,v2.8,
bio_1762,v2.11,
news_1406,v2.8,
news_1406,v2.11,
bio_1380,v2.8,
bio_1380,v2.11,
pop_1761,v2.8,
pop_1761,v2.11,
ess_329,v2.8,
ess_329,v2.11,
bio_390,v2.8,
bio_390,v2.11,
pop_62,v2.8,
pop_62,v2.11,
ess_624,v2.8,
ess_624,v2.11,
